username,first_name,last_name,middle_name,email,gender,birth_date,mobile_number,department
2021-5675-MN-0,Talon,Baguio ,Casas ,tcbaguio@iskolarngbayan.pup.edu.ph,M,2003-02-03,(0915) 8569430,BAPE
2021-9311-MN-0,Ji,Advíncula ,Canlas ,jcadvíncula@iskolarngbayan.pup.edu.ph,F,2002-02-16,(0936) 4567925,BADPR
2021-7432-MN-0,Jarrett,Ramírez ,Gonzaga ,jgramírez@iskolarngbayan.pup.edu.ph,M,2002-06-02,(0905) 2255490,BSHM
2021-5160-MN-0,Lenton,Vergara ,Lee ,llvergara@iskolarngbayan.pup.edu.ph,F,2004-07-27,(0965) 4746838,ABLCS
2021-9880-MN-0,Scotty,Villar ,Alegre ,savillar@iskolarngbayan.pup.edu.ph,F,2004-09-04,(0999) 4034108,BSOA
2021-4878-MN-0,Loreal,Ancheta ,Manansala ,lmancheta@iskolarngbayan.pup.edu.ph,F,2004-06-04,(0977) 2086715,ABLCS
2021-5502-MN-0,Rishard,Oliveros ,Fernando ,rfoliveros@iskolarngbayan.pup.edu.ph,F,2002-11-28,(0976) 3652552,MEM-EL
2021-9899-MN-0,Tyneshia,Pangan ,Añonuevo ,tapangan@iskolarngbayan.pup.edu.ph,M,2002-10-01,(0927) 8985677,MAEd-ME
2021-1262-MN-0,Bridgett,Go ,Figueroa ,bfgo@iskolarngbayan.pup.edu.ph,M,2004-02-07,(0937) 1328801,BSEd-FIL
2021-3206-MN-0,Natalee,Toledo ,Verano ,nvtoledo@iskolarngbayan.pup.edu.ph,M,2002-12-16,(0954) 3678155,DMET
2021-7097-MN-0,Latisha,Castillo ,Alcántara ,lacastillo@iskolarngbayan.pup.edu.ph,F,2003-08-24,(0964) 7387297,BSBAFM
2021-6513-MN-0,Tashana,Sarmiento ,Pimentel ,tpsarmiento@iskolarngbayan.pup.edu.ph,F,2004-04-07,(0936) 4490973,BSAPMATH
2021-2279-MN-0,Kerrin,del Rosario ,Múñoz ,kmdel rosario@iskolarngbayan.pup.edu.ph,F,2004-01-16,(0964) 1340538,BSA
2021-6855-MN-0,Keric,Bustamante ,Gaspar ,kgbustamante@iskolarngbayan.pup.edu.ph,F,2003-10-17,(0945) 4084695,BSIE
2021-7466-MN-0,Lanorris,Javier ,Alonzo ,lajavier@iskolarngbayan.pup.edu.ph,M,2004-04-19,(0937) 2806834,JD
2021-3055-MN-0,Patrese,Oliveros ,Tobias ,ptoliveros@iskolarngbayan.pup.edu.ph,M,2002-06-05,(0997) 5400031,BSME
2021-9295-MN-0,Lemar,Solomón ,Mahusay ,lmsolomón@iskolarngbayan.pup.edu.ph,M,2004-08-12,(0905) 6066504,BSIE
2021-8735-MN-0,Chakia,Geronimo ,Abas ,cageronimo@iskolarngbayan.pup.edu.ph,F,2002-11-13,(0935) 4006199,BA Broadcasting
2021-9901-MN-0,Shamone,Sagun ,Valdez ,svsagun@iskolarngbayan.pup.edu.ph,M,2002-06-29,(0937) 2537004,BSAPMATH
2021-2868-MN-0,Shalise,Villarín ,Felipe ,sfvillarín@iskolarngbayan.pup.edu.ph,F,2003-07-03,(0927) 1549155,PBDE
2021-6681-MN-0,Gavino,Verano ,Juan ,gjverano@iskolarngbayan.pup.edu.ph,F,2003-01-02,(0936) 1901736,BSOA
2021-8059-MN-0,Lavina,Ybáñez ,Gabriel ,lgybáñez@iskolarngbayan.pup.edu.ph,M,2002-07-27,(0937) 5436645,BSECE
2021-6783-MN-0,Jaquetta,Bravo ,de León ,jdbravo@iskolarngbayan.pup.edu.ph,M,2004-07-22,(0906) 1175199,BAPE
2021-0438-MN-0,Lene,Teves ,Hassan ,lhteves@iskolarngbayan.pup.edu.ph,F,2003-04-09,(0945) 8804184,BSENTREP
2021-2967-MN-0,Porschia,Sunga ,Viernes ,pvsunga@iskolarngbayan.pup.edu.ph,M,2002-12-28,(0915) 6992591,DEET
2021-5374-MN-0,See,Roldán ,Cayabyab ,scroldán@iskolarngbayan.pup.edu.ph,F,2004-07-13,(0978) 8050489,BSEd-ENG
2021-5067-MN-0,Orrin,Uy ,Arevalo ,oauy@iskolarngbayan.pup.edu.ph,M,2004-03-16,(0926) 8238316,BSENTREP
2021-3373-MN-0,Ruben,Flores ,Flores ,rfflores@iskolarngbayan.pup.edu.ph,M,2003-09-12,(0976) 7820753,BAJ
2021-9863-MN-0,Robbert,Punzalán ,Pilapil ,rppunzalán@iskolarngbayan.pup.edu.ph,F,2002-08-24,(0916) 1103436,BSID
2021-9637-MN-0,Chade,Oliva ,Gómez ,cgoliva@iskolarngbayan.pup.edu.ph,F,2003-05-30,(0973) 1998917,DICT
2021-6493-MN-0,Tahesha,Cunanan ,Recto ,trcunanan@iskolarngbayan.pup.edu.ph,M,2003-06-13,(0979) 3508405,BSMA
2021-4008-MN-0,Rosetta,Nepomuceno ,Baluyot ,rbnepomuceno@iskolarngbayan.pup.edu.ph,M,2004-01-11,(0916) 4567143,MPES
2021-0727-MN-0,Nahla,Salvador ,Serrano ,nssalvador@iskolarngbayan.pup.edu.ph,M,2002-12-09,(0905) 1497635,BSE
2021-6067-MN-0,Jaquan,Reyes ,Sunga ,jsreyes@iskolarngbayan.pup.edu.ph,M,2003-01-25,(0905) 3922762,BSCS
2021-8590-MN-0,Dona,Esguerra ,Galang ,dgesguerra@iskolarngbayan.pup.edu.ph,M,2004-05-29,(0997) 5890369,MAELT
2021-1656-MN-0,Adlai,Mahinay ,Ávila ,aámahinay@iskolarngbayan.pup.edu.ph,F,2002-06-22,(0963) 5349607,BSBA-MM
2021-1009-MN-0,Laquite,Acuña ,Aguinaldo ,laacuña@iskolarngbayan.pup.edu.ph,M,2003-05-15,(0964) 5402662,BAS
2021-0876-MN-0,Ladd,Manalo ,Crisóstomo ,lcmanalo@iskolarngbayan.pup.edu.ph,M,2004-11-24,(0955) 9999347,BTLEd-HE
2021-1044-MN-0,Collette,Bueno ,Eugenio ,cebueno@iskolarngbayan.pup.edu.ph,M,2004-02-18,(0937) 5089960,BSRE
2021-4342-MN-0,Kennie,Montero ,Patricio ,kpmontero@iskolarngbayan.pup.edu.ph,M,2002-09-30,(0926) 7145020,BSTRM
2021-7660-MN-0,Lindsie,Silvestre ,Alfonso ,lasilvestre@iskolarngbayan.pup.edu.ph,F,2002-02-25,(0975) 7370422,ABLCS
2021-4451-MN-0,Chrystie,José ,Panganiban ,cpjosé@iskolarngbayan.pup.edu.ph,M,2004-09-04,(0965) 4406483,MAELT
2021-4560-MN-0,Keon,Gamboa ,Geronimo ,kggamboa@iskolarngbayan.pup.edu.ph,M,2004-03-13,(0935) 5723731,BSCpE
2021-1039-MN-0,Shayleen,Tuazon ,Raymundo ,srtuazon@iskolarngbayan.pup.edu.ph,F,2002-04-09,(0973) 8253056,BSCpE
2021-4329-MN-0,Aleksander,Villamor ,Bonifacio ,abvillamor@iskolarngbayan.pup.edu.ph,F,2004-02-21,(0999) 5674775,BSME
2021-8445-MN-0,Thinh,Montemayor ,Tan ,ttmontemayor@iskolarngbayan.pup.edu.ph,M,2003-06-16,(0964) 7643282,BAJ
2021-6610-MN-0,Vanette,Raymundo ,Burgos ,vbraymundo@iskolarngbayan.pup.edu.ph,M,2003-04-02,(0979) 1127088,BSBIO
2021-4216-MN-0,Kongmeng,Chávez ,Vidal ,kvchávez@iskolarngbayan.pup.edu.ph,M,2003-11-29,(0974) 7807150,BAH
2021-0767-MN-0,Allen,dela Cruz ,Basilio ,abdela cruz@iskolarngbayan.pup.edu.ph,M,2002-07-23,(0935) 3271375,MAELT
2021-1051-MN-0,Ramel,Martín ,Guevarra ,rgmartín@iskolarngbayan.pup.edu.ph,F,2004-05-05,(0916) 9620323,DBA
